timestamp,extranonce,patoshi
1241768401,2220,1
1241768716,709,0
1241769281,2221,1
1241769766,2231,1
1241770673,2232,1
1241770986,757,0
1241771288,2233,1
1241772230,525,0
1241772417,716,0
1241772636,545,0
1241772812,2253,1
1241773396,2258,1
1241774682,2267,1
1241775868,2274,1
1241776967,2275,1
1241777971,723,0
1241778016,2276,1
1241778133,769,0
1241779168,2284,1
1241780228,2286,1
1241780706,2293,1
1241781168,2294,1
1241782321,2306,1
1241783193,2,0
1241783477,3,0
1241783515,2317,1
1241784045,2324,1
1241785196,2330,1
1241785693,2332,1
1241787269,565,0
1241787302,2354,1
1241787706,2358,1
1241788402,2362,1
1241789405,2371,1
1241789911,2375,1
1241791225,2388,1
1241792540,572,0
1241792742,2402,1
1241793398,2409,1
1241794176,2414,1
1241795077,2424,1
1241795446,793,0
1241796108,2425,1
1241797122,2426,1
1241797894,2428,1
1241799104,2436,1
1241800096,2440,1
1241801549,2452,1
1241802082,27,0
1241803043,2455,1
1241803872,2456,1
1241804646,6,0
1241805160,2475,1
1241805757,2480,1
1241807309,2486,1
1241808035,2492,1
1241809571,2502,1
1241810901,2509,1
1241812214,2512,1
1241812705,595,0
1241812818,2517,1
1241814422,2528,1
1241815618,2531,1
1241816567,18,0
1241816716,2555,1
1241817602,2575,1
1241818988,2577,1
1241820278,2604,1
1241820334,1247,0
1241821626,2611,1
1241822077,2615,1
1241827558,2,1
1241828873,3,1
1241829416,22,1
1241830620,24,1
1241830824,30,0
1241831399,25,1
1241831474,32,0
1241832058,7,0
1241832802,26,1
1241833348,3468,0
1241833754,37,1
1241834903,47,1
1241836070,48,1
1241837352,49,1
1241838541,68,1
1241839238,76,1
1241839555,835,0
1241840520,83,1
1241841550,85,1
1241842300,13,0
1241843152,6,0
1241843285,24,0
1241843529,22,0
1241843854,9,0
1241844758,104,1
1241845257,108,1
1241847886,114,1
1241849019,121,1
1241849934,3487,0
1241850505,124,1
1241850375,23,0
1241851252,125,1
1241851845,128,1
1241851832,35,0
1241852293,139,1
1241853290,142,1
1241853703,3495,0
1241854389,161,1
1241855035,166,1
1241855243,24,0
1241857059,857,0
1241858267,858,0
1241858592,770,0
1241858847,173,1
1241860109,179,1
1241861197,182,1
1241862288,187,1
1241863001,197,1
1241863513,202,1
1241863963,209,1
1241865869,210,1
1241867794,224,1
1241868881,225,1
1241869563,231,1
1241870113,232,1
1241871325,236,1
1241872335,242,1
1241872707,7,0
1241872982,244,1
1241873349,247,1
1241874923,256,1
1241876405,263,1
1241877511,274,1
1241878713,277,1
1241879667,280,1
1241880737,281,1
1241881812,282,1
1241885094,15,0
1241885960,884,0
1241889994,885,0
1241890411,11,0
1241891253,1,0
1241891843,6,0
1241892179,21,0
1241894423,890,0
1241894437,16,0
1241897878,6,0
1241910410,1,0
1241913951,894,0
1241913994,81,0
1241920337,2,0
1241922581,22,0
1241926638,84,0
1241927861,811,0
1241932165,6,0
1241933190,87,0
1241944972,88,0
1241946512,296,1
1241947032,312,1
1241947642,315,1
1241948398,316,1
1241949057,317,1
1241948918,33,0
1241949983,325,1
1241950984,331,1
1241951898,345,1
1241953050,350,1
1241954492,356,1
1241955747,365,1
1241956482,371,1
1241956315,828,0
1241956549,42,0
1241956874,372,1
1241958036,375,1
1241958802,381,1
1241959709,394,1
1241960311,20,0
1241960787,396,1
1241961174,398,1
1241962253,418,1
1241963606,425,1
1241963779,25,0
1241964522,436,1
1241965865,441,1
1241965984,9,0
1241966592,925,0
1241966785,448,1
1241966865,31,0
1241967460,452,1
1241967868,14,0
1241968321,453,1
1241968641,454,1
1241969182,49,0
1241969848,456,1
1241970676,465,1
1241971424,469,1
1241972017,470,1
1241972583,484,1
1241974008,487,1
1241974475,489,1
1241975822,497,1
1241976265,506,1
1241977311,508,1
