date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2024-10-24,2024-10-24 23:50:00+00:00,68170.2098425850,867210,583,91088.7805404606,90442.5526920168,87587.6863462147
2024-10-25,2024-10-25 23:50:00+00:00,66501.3509559895,867367,582,91141.4290096049,90789.8830992022,87587.6863462147
2024-10-26,2024-10-26 23:50:00+00:00,67018.1550845578,867512,581,91199.5895405593,90789.8830992022,87587.6863462147
2024-10-27,2024-10-27 23:50:00+00:00,67943.9675994587,867672,580,91256.3603048967,90789.8830992022,87587.6863462147
2024-10-28,2024-10-28 23:50:00+00:00,69842.8951779753,867841,579,91310.4703582996,90789.8830992022,87587.6863462147
2024-10-29,2024-10-29 23:50:00+00:00,72737.4266476475,867999,578,91359.0533786922,90789.8830992022,87587.6863462147
2024-10-30,2024-10-30 23:50:00+00:00,72331.8309326851,868168,577,91399.6068653445,90789.8830992022,87587.6863462147
2024-10-31,2024-10-31 23:50:00+00:00,70251.0196618344,868325,576,91441.4564577651,90789.8830992022,87587.6863462147
2024-11-01,2024-11-01 23:50:00+00:00,69513.1578978095,868479,575,91489.4508451704,91191.1611959198,89656.0929350267
2024-11-02,2024-11-02 23:50:00+00:00,69293.2051422515,868620,574,91539.8688680256,91191.1611959198,89656.0929350267
2024-11-03,2024-11-03 23:50:00+00:00,68823.9358513952,868750,573,91591.1872915986,91191.1611959198,89656.0929350267
2024-11-04,2024-11-04 23:50:00+00:00,67762.7776282515,868903,572,91644.1877952476,91191.1611959198,89656.0929350267
2024-11-05,2024-11-05 23:50:00+00:00,69372.3571089419,869042,571,91700.7863993090,91191.1611959198,89656.0929350267
2024-11-06,2024-11-06 23:50:00+00:00,75638.9896651287,869194,570,91752.5965947162,91191.1611959198,89656.0929350267
2024-11-07,2024-11-07 23:50:00+00:00,75958.4634812625,869351,569,91786.9615492230,91191.1611959198,89656.0929350267
2024-11-08,2024-11-08 23:50:00+00:00,76544.7567005686,869492,568,91820.6480231421,91539.2948188441,89656.0929350267
2024-11-09,2024-11-09 23:50:00+00:00,76707.9980608925,869631,567,91852.9776948059,91539.2948188441,89656.0929350267
2024-11-10,2024-11-10 23:50:00+00:00,80424.6318165981,869779,566,91885.0297863397,91539.2948188441,89656.0929350267
2024-11-11,2024-11-11 23:50:00+00:00,88766.3358798817,869916,565,91908.2099489102,91539.2948188441,89656.0929350267
2024-11-12,2024-11-12 23:50:00+00:00,88223.5892037158,870062,564,91913.9781838392,91539.2948188441,89656.0929350267
2024-11-13,2024-11-13 23:50:00+00:00,90445.5352752674,870196,563,91920.8077459605,91539.2948188441,89656.0929350267
2024-11-14,2024-11-14 23:50:00+00:00,87369.3552045294,870326,562,91923.4756808491,91539.2948188441,89656.0929350267
2024-11-15,2024-11-15 23:50:00+00:00,90932.8126344145,870477,561,91932.0174791972,91761.2124306026,89656.0929350267
2024-11-16,2024-11-16 23:50:00+00:00,90562.4189070951,870631,560,91933.8214154752,91761.2124306026,89656.0929350267
2024-11-17,2024-11-17 23:50:00+00:00,89804.7894210569,870783,559,91936.3119478730,91761.2124306026,89656.0929350267
2024-11-18,2024-11-18 23:50:00+00:00,90553.7657736696,870938,558,91940.2227134198,91761.2124306026,89656.0929350267
2024-11-19,2024-11-19 23:50:00+00:00,92238.1916222907,871115,557,91942.7500446539,91761.2124306026,89656.0929350267
2024-11-20,2024-11-20 23:50:00+00:00,94193.7808338788,871261,556,91942.2203799538,91761.2124306026,89656.0929350267
2024-11-21,2024-11-21 23:50:00+00:00,98514.5274111514,871405,555,91938.2606580774,91761.2124306026,89656.0929350267
2024-11-22,2024-11-22 23:50:00+00:00,98978.1240160513,871549,554,91927.1838830745,91771.6629523509,89656.0929350267
2024-11-23,2024-11-23 23:50:00+00:00,97658.1015831774,871686,553,91915.3433653644,91771.6629523509,89656.0929350267
2024-11-24,2024-11-24 23:50:00+00:00,97933.8155743235,871821,552,91905.5526386707,91771.6629523509,89656.0929350267
2024-11-25,2024-11-25 23:50:00+00:00,93049.0159378559,871990,551,91895.2866412838,91771.6629523509,89656.0929350267
2024-11-26,2024-11-26 23:50:00+00:00,91957.6723228167,872128,550,91893.2150079381,91771.6629523509,89656.0929350267
2024-11-27,2024-11-27 23:50:00+00:00,95981.5805542439,872262,549,91893.0976817968,91771.6629523509,89656.0929350267
2024-11-28,2024-11-28 23:50:00+00:00,95651.1964495578,872404,548,91885.9553032875,91771.6629523509,89656.0929350267
2024-11-29,2024-11-29 23:50:00+00:00,97447.1323679839,872524,547,91879.3433017581,91687.1614825982,89656.0929350267
2024-11-30,2024-11-30 23:50:00+00:00,96514.0527097167,872688,546,91869.7295366797,91687.1614825982,89656.0929350267
2024-12-01,2024-12-01 23:50:00+00:00,97311.4552378753,872845,545,91861.6186287578,91687.1614825982,91123.0296530395
2024-12-02,2024-12-02 23:50:00+00:00,95842.7975906814,872974,544,91852.1625735125,91687.1614825982,91123.0296530395
2024-12-03,2024-12-03 23:50:00+00:00,96000.7813507387,873130,543,91845.1198800991,91687.1614825982,91123.0296530395
2024-12-04,2024-12-04 23:50:00+00:00,98862.2595484548,873277,542,91837.7850930673,91687.1614825982,91123.0296530395
2024-12-05,2024-12-05 23:50:00+00:00,97124.8557188497,873431,541,91825.7250070288,91687.1614825982,91123.0296530395
2024-12-06,2024-12-06 23:50:00+00:00,99945.3170972673,873569,540,91816.4481476360,91617.7332412335,91123.0296530395
2024-12-07,2024-12-07 23:50:00+00:00,99805.3054116588,873711,539,91802.5954655785,91617.7332412335,91123.0296530395
2024-12-08,2024-12-08 23:50:00+00:00,101267.8228772039,873856,538,91788.9152982189,91617.7332412335,91123.0296530395
2024-12-09,2024-12-09 23:50:00+00:00,97465.9378311554,874024,537,91772.9187207372,91617.7332412335,91123.0296530395
2024-12-10,2024-12-10 23:50:00+00:00,96715.5724779245,874175,536,91762.9189002076,91617.7332412335,91123.0296530395
2024-12-11,2024-12-11 23:50:00+00:00,101175.2282635775,874320,535,91754.1364961299,91617.7332412335,91123.0296530395
2024-12-12,2024-12-12 23:50:00+00:00,100042.5938470034,874466,534,91738.1396004436,91617.7332412335,91123.0296530395
2024-12-13,2024-12-13 23:50:00+00:00,101369.2707038183,874635,533,91723.8545676608,91518.7012098882,91123.0296530395
2024-12-14,2024-12-14 23:50:00+00:00,101358.9618648732,874797,532,91707.4521584350,91518.7012098882,91123.0296530395
2024-12-15,2024-12-15 23:50:00+00:00,104597.5905002600,874934,531,91691.0097537730,91518.7012098882,91123.0296530395
2024-12-16,2024-12-16 23:50:00+00:00,105984.7430895704,875080,530,91669.6675476878,91518.7012098882,91123.0296530395
2024-12-17,2024-12-17 23:50:00+00:00,106102.9159597656,875217,529,91646.2678953634,91518.7012098882,91123.0296530395
2024-12-18,2024-12-18 23:50:00+00:00,100121.4727515069,875362,528,91622.6245408275,91518.7012098882,91123.0296530395
2024-12-19,2024-12-19 23:50:00+00:00,97622.6915091139,875506,527,91607.8690041848,91518.7012098882,91123.0296530395
2024-12-20,2024-12-20 23:50:00+00:00,97749.9403235650,875657,526,91597.1397827833,91401.8330165581,91123.0296530395
2024-12-21,2024-12-21 23:50:00+00:00,97204.0509214241,875803,525,91586.1591623737,91401.8330165581,91123.0296530395
2024-12-22,2024-12-22 23:50:00+00:00,95087.0063501526,875957,524,91576.0587369955,91401.8330165581,91123.0296530395
2024-12-23,2024-12-23 23:50:00+00:00,94707.5497505837,876097,523,91569.5939715204,91401.8330165581,91123.0296530395
2024-12-24,2024-12-24 23:50:00+00:00,98744.5950489427,876229,522,91563.7821075815,91401.8330165581,91123.0296530395
2024-12-25,2024-12-25 23:50:00+00:00,99475.4251874526,876380,521,91551.0034372591,91401.8330165581,91123.0296530395
2024-12-26,2024-12-26 23:50:00+00:00,95708.5197904997,876508,520,91536.9803054865,91401.8330165581,91123.0296530395
2024-12-27,2024-12-27 23:50:00+00:00,94305.7867796113,876669,519,91529.2936306114,91322.7568680031,91123.0296530395
2024-12-28,2024-12-28 23:50:00+00:00,95203.7505284988,876809,518,91524.0917074679,91322.7568680031,91123.0296530395
2024-12-29,2024-12-29 23:50:00+00:00,93620.0832300121,876969,517,91517.2499777513,91322.7568680031,91123.0296530395
2024-12-30,2024-12-30 23:50:00+00:00,92652.4841742503,877128,516,91513.2664287062,91322.7568680031,91123.0296530395
2024-12-31,2024-12-31 23:50:00+00:00,93460.4255271153,877256,515,91511.0816063414,91322.7568680031,91123.0296530395
2025-01-01,2025-01-01 23:50:00+00:00,94397.1460817957,877393,514,91507.3683608643,91322.7568680031,90783.4248319338
2025-01-02,2025-01-02 23:50:00+00:00,96861.9653197513,877564,513,91501.9080375438,91322.7568680031,90783.4248319338
2025-01-03,2025-01-03 23:50:00+00:00,98085.4536735983,877705,512,91492.0195605479,91283.7374345900,90783.4248319338
2025-01-04,2025-01-04 23:50:00+00:00,98271.5847665466,877856,511,91479.9854983303,91283.7374345900,90783.4248319338
2025-01-05,2025-01-05 23:50:00+00:00,98374.9555651139,878012,510,91467.5906517225,91283.7374345900,90783.4248319338
2025-01-06,2025-01-06 23:50:00+00:00,102236.7273123477,878142,509,91454.9747759762,91283.7374345900,90783.4248319338
2025-01-07,2025-01-07 23:50:00+00:00,96921.5569252403,878277,508,91435.9930414843,91283.7374345900,90783.4248319338
2025-01-08,2025-01-08 23:50:00+00:00,95019.7187997026,878402,507,91425.7868986290,91283.7374345900,90783.4248319338
2025-01-09,2025-01-09 23:50:00+00:00,92423.1405078937,878554,506,91418.9534201482,91283.7374345900,90783.4248319338
2025-01-10,2025-01-10 23:50:00+00:00,94744.9273643292,878697,505,91416.9865783263,91197.1066785720,90783.4248319338
2025-01-11,2025-01-11 23:50:00+00:00,94570.9642158644,878836,504,91410.6158993411,91197.1066785720,90783.4248319338
2025-01-12,2025-01-12 23:50:00+00:00,94458.1748317397,879008,503,91404.5432677896,91197.1066785720,90783.4248319338
2025-01-13,2025-01-13 23:50:00+00:00,94398.4142696792,879135,502,91398.6573636421,91197.1066785720,90783.4248319338
2025-01-14,2025-01-14 23:50:00+00:00,96579.2708869885,879289,501,91392.8604623243,91197.1066785720,90783.4248319338
2025-01-15,2025-01-15 23:50:00+00:00,100362.3732497324,879428,500,91383.0457272027,91197.1066785720,90783.4248319338
2025-01-16,2025-01-16 23:50:00+00:00,100033.4562703557,879557,499,91366.6639840342,91197.1066785720,90783.4248319338
2025-01-17,2025-01-17 23:50:00+00:00,104167.9247020675,879707,498,91350.7713460890,91149.7012095981,90783.4248319338
2025-01-18,2025-01-18 23:50:00+00:00,104325.9243694332,879837,497,91328.1610685671,91149.7012095981,90783.4248319338
2025-01-19,2025-01-19 23:50:00+00:00,101672.7690305871,879985,496,91305.2265121805,91149.7012095981,90783.4248319338
2025-01-20,2025-01-20 23:50:00+00:00,101944.4199465012,880138,495,91286.4215632811,91149.7012095981,90783.4248319338
2025-01-21,2025-01-21 23:50:00+00:00,106159.1582011072,880271,494,91267.1063493218,91149.7012095981,90783.4248319338
2025-01-22,2025-01-22 23:50:00+00:00,103725.7977935965,880422,493,91241.1441860307,91149.7012095981,90783.4248319338
2025-01-23,2025-01-23 23:50:00+00:00,104070.0735939163,880557,492,91218.8285586420,91149.7012095981,90783.4248319338
2025-01-24,2025-01-24 23:50:00+00:00,104746.0259560678,880698,491,91195.8927989339,90989.5423959075,90783.4248319338
2025-01-25,2025-01-25 23:50:00+00:00,104801.6433315886,880825,490,91171.8231050326,90989.5423959075,90783.4248319338
2025-01-26,2025-01-26 23:50:00+00:00,102597.0136757683,880961,489,91147.5816699475,90989.5423959075,90783.4248319338
2025-01-27,2025-01-27 23:50:00+00:00,101909.2432034657,881117,488,91126.7427480218,90989.5423959075,90783.4248319338
2025-01-28,2025-01-28 23:50:00+00:00,101270.9868644747,881267,487,91106.9489811644,90989.5423959075,90783.4248319338
2025-01-29,2025-01-29 23:50:00+00:00,103749.3103057853,881419,486,91088.1382018183,90989.5423959075,90783.4248319338
2025-01-30,2025-01-30 23:50:00+00:00,104823.2115465023,881564,485,91065.2242752604,90989.5423959075,90783.4248319338
2025-01-31,2025-01-31 23:50:00+00:00,102378.8398175263,881692,484,91040.5362196317,90819.1503673831,90783.4248319338
2025-02-01,2025-02-01 23:50:00+00:00,100644.2063149785,881874,483,91019.6660497165,90819.1503673831,90566.7320228644
2025-02-02,2025-02-02 23:50:00+00:00,97468.7000000000,882047,482,91001.6112257701,90819.1503673831,90566.7320228644
2025-02-03,2025-02-03 23:50:00+00:00,101578.0000000000,882199,481,90989.0599534982,90819.1503673831,90566.7320228644
2025-02-04,2025-02-04 23:50:00+00:00,97926.3000000000,882331,480,90969.3036147313,90819.1503673831,90566.7320228644
2025-02-05,2025-02-05 23:50:00+00:00,96518.8000000000,882474,479,90955.8134460264,90819.1503673831,90566.7320228644
2025-02-06,2025-02-06 23:50:00+00:00,96419.8000000000,882619,478,90944.8474950791,90819.1503673831,90566.7320228644
2025-02-07,2025-02-07 23:50:00+00:00,96475.8000000000,882792,477,90934.0226384243,90670.7775946181,90566.7320228644
2025-02-08,2025-02-08 23:50:00+00:00,96617.7000000000,882952,476,90923.0503369888,90670.7775946181,90566.7320228644
2025-02-09,2025-02-09 23:50:00+00:00,96400.5000000000,883096,475,90911.7696170245,90670.7775946181,90566.7320228644
