Index,Address,Type,Status,Value,Balance,Create Block,Redeem Block,Create Time,Redeem Time
42327,13CGWyh5ZTYuCbqhoKZDbrKycLfXMm3apo,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,933538,1366948008,1769184406
42242,13C7ArhB2WfdrNS6ADWaRdDaFacwbNkZL7,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,933536,1366948008,1769182022
42414,13CpS8KtMHsi5vATEaJQ2D5KwesmPozpK9,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,233187,933534,1366948008,1769180621
43420,13G3iw39edBoXFcYoS8jYxGw2dWrGR8Rh4,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,259538,933351,1379907559,1769074023
43542,13GiCZB72w6r1BdUoJXRPYC1D3JLMgktmX,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,259538,933351,1379907559,1769074023
43881,13HMdHAnf6Q6xke6NKBBKe1RWqFc7f3XUf,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,259538,933351,1379907559,1769074023
43902,13HodvMaiHyp8RbkLUuYUQLxp5KcG9DjyR,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,259538,933350,1379907559,1769073349
43895,13HnH9sPFfdDYtJ41At3kgb1zJcr4ZfYpA,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,259538,933349,1379907559,1769073333
43938,13HsSxVfdbiqh1BDuSL6dyXLZxWtrs6Am3,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,259538,933349,1379907559,1769073333
56474,1AgbWXJ595bk7pkMRYunLShBoGsQYnU6qy,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,259538,933349,1379907559,1769073333
32077,12BDSYWaLL9HtWphANkxYDGynnxcJph6ft,S2-COIN-0.5,Redeemed,0.50000000,0E-8,259538,933348,1379907559,1769072841
32175,12BNShQ3PRmSRwjSqespp8Y3DufV3oQ1ko,S2-COIN-0.5,Redeemed,0.50000000,0E-8,259538,933348,1379907559,1769072841
32255,12BVtDgzH2geW1F8UqGrUpgRRsYAgZD3X7,S2-COIN-0.5,Redeemed,0.50000000,0E-8,259538,933348,1379907559,1769072841
